	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	RU
Eldritch Blast+	Attack	power	2	Dark	opponent	1	2	Eldritch Blast+{desc}Deal {dmg} Dark damage.	Dark		0	1	0.8	0	0	0	darkSplat			Explosion occulte+{desc}Inflige {dmg} point(s) de dégâts de ténèbres.	Geisterschlag+{desc}Verursache {dmg} Dunkelschaden.	Explosión Lúgubre +{desc}Inflige {dmg} punto(s) de daño de oscuridad.	Explosão Sobrenatural+{desc}Causa {dmg} de dano Sombrio.	邪能爆炸+{desc}造成 {dmg} 点暗黑伤害。	不気味な爆発+{desc}{dmg}闇ダメージを与える。	Оккультный взрыв+{desc}Наносит {dmg} темного урона.
Horrify	Attack	power	1	Dark	opponents	2	3	Horrify{desc}Deal {dmg} Dark damage to all enemies.	Dark		1	1	2	0	0	0	mindSpike			Horreur{desc}Inflige {dmg} point(s) de dégâts de ténèbres à tous les ennemis.	Abscheu{desc}Verursache {dmg} Dunkelschaden bei allen Gegnern.	Espanto{desc}Inflige {dmg} punto(s) de daño de oscuridad a todos los enemigos.	Aterrorizar{desc}Causa {dmg} de dano Sombrio a todos os inimigos.	毛骨悚然{desc}对所有敌人造成{dmg}点暗黑伤害。	恐怖{desc}敵全体に{dmg}闇ダメージを与える。	Ужас{desc}Наносит {dmg} темного урона всем врагам.
Horrify+	Attack	power	2	Dark	opponents	2	4	Horrify+{desc}Deal {dmg} Dark damage to all enemies.	Dark		0	0	2	0	0	0	mindSpike			Horreur+{desc}Inflige {dmg} point(s) de dégâts de ténèbres à tous les ennemis.	Abscheu+{desc}Verursache {dmg} Dunkelschaden bei allen Gegnern.	Espanto +{desc}Inflige {dmg} punto(s) de daño de oscuridad a todos los enemigos.	Aterrorizar+{desc}Causa {dmg} de dano Sombrio a todos os inimigos.	毛骨悚然+{desc}对所有敌人造成 {dmg} 点暗黑伤害。	恐怖+{desc}}敵全体に{dmg}闇ダメージを与える。	Ужас+{desc}Наносит {dmg} темного урона всем врагам.
Forbidden Force	Attack	power	0.5	Dark	opponent+self	1	1	Forbidden Force{desc}Deal {dmg} Dark damage to an enemy and yourself five times.	Dark*5		1	0	1	0	0	0	mindSpike			Force défendue{desc}Inflige {dmg} point(s) de dégâts de ténèbres à un ennemi et à soi à 5 reprises.	Verbotene Macht{desc}Verursache fünfmal {dmg} Dunkelschaden bei einem Gegner und dir selbst.	Fuerzas Prohibidas{desc}Inflige {dmg} punto(s) de daño de oscuridad a un enemigo cinco veces. Tú sufres el mismo daño.	Força Proibida{desc}Causa {dmg} de dano Sombrio a um inimigo e a si cinco vezes.	禁忌力量{desc}对一个敌人和你自己造成 5 次{dmg}点暗黑伤害。	禁断の力{desc}敵1体と自分に{dmg}闇ダメージを5回与える。	Запретная сила{desc}Наносит {dmg} темного урона врагу и себе пять раз.
Forbidden Force+	Attack	power	0.5	Dark	opponent+self	1	2	Forbidden Force+{desc}Deal {dmg} Dark damage to an enemy and yourself seven times.	Dark*7		0	0	1	0	0	0	mindSpike			Force défendue+{desc}Inflige {dmg} point(s) de dégâts de ténèbres à un ennemi et à soi à 7 reprises.	Verbotene Macht+{desc}Verursache siebenmal {dmg} Dunkelschaden bei einem Gegner und dir selbst.	Fuerzas Prohibidas +{desc}Inflige {dmg} punto(s) de daño de oscuridad a un enemigo siete veces. Tú sufres el mismo daño.	Força Proibida+{desc}Causa {dmg} de dano Sombrio a um inimigo e a si sete vezes.	禁忌力量+{desc}对一个敌人和你自己造成 7 次 {dmg} 点暗黑伤害。	禁断の力+{desc}敵1体と自分に{dmg}闇ダメージを7回与える。	Запретная сила+{desc}Наносит {dmg} темного урона врагу и себе семь раз.
Mind Sliver	Attack	power	2	Dark	randomOpponents,self	2	1	Mind Sliver{desc} Deal {dmg} Dark damage to a random enemy, and possibly yourself, twice.	Dark*2		1	0	1	0	0	0	mindSpike			Fragment d'âme{desc}Inflige {dmg} point(s) de dégâts de ténèbres à 2 reprises à un ennemi aléatoire et peut-être à soi.	Gedankensplitter{desc} Verursache zweimal {dmg} Dunkelschaden bei einem zufälligen Gegner und möglicherweise dir selbst.	Astilla Mental{desc} Inflige {dmg} punto(s) de daño de oscuridad a un enemigo al azar dos veces. Es posible que sufras el mismo daño.	Mente Fraca{desc} Causa {dmg} de dano Sombrio a um inimigo aleatório, e possivelmente a si, duas vezes.	心灵切割{desc}对一个随机敌人，可能包括你自己，造成 2 次{dmg}点暗黑伤害。	マインドスライバー{desc}ランダムな敵1体と、場合によっては自分に、{dmg}闇ダメージを2回与える。	Осколок разума{desc}Наносит {dmg} темного урона дважды случайному врагу или себе.
Mind Sliver+	Attack	power	2	Dark	randomOpponents,self	2	2	Mind Sliver+{desc} Deal {dmg} Dark damage to a random enemy, and possibly yourself, three times.	Dark*3		0	0	1	0	0	0	mindSpike			Fragment d'âme+{desc}Inflige {dmg} point(s) de dégâts de ténèbres à 3 reprises à un ennemi aléatoire et peut-être à soi.	Gedankensplitter+{desc} Verursache dreimal {dmg} Dunkelschaden bei einem zufälligen Gegner und möglicherweise dir selbst.	Astilla Mental +{desc} Inflige {dmg} punto(s) de daño de oscuridad a un enemigo al azar tres veces. Es posible que sufras el mismo daño.	Mente Fraca+{desc} Causa {dmg} de dano Sombrio a um inimigo aleatório, e possivelmente a si, três vezes.	心灵切割+{desc}对一个随机敌人，可能包括你自己，造成 3 次 {dmg} 点暗黑伤害。	マインドスライバー+{desc}ランダムな敵1体と、場合によっては自分に、{dmg}闇ダメージを3回与える。	Осколок разума+{desc}Наносит {dmg} темного урона трижды случайному врагу или себе.
Dark Energy	Attack	power	2	Dark	self	0	3	Dark Energy{desc}Deal {dmg} Dark damage to yourself. Gain one Energy.	Dark		1	0	1	0	0	0	mindSpike		1	Énergie noire{desc}Inflige {dmg} point(s) de dégâts de ténèbres à soi. Gagne 1 point d'énergie.	Dunkle Energie{desc}Verursache {dmg} Dunkelschaden. Erhalte 1 Energie.	Energía Oscura{desc}Sufres {dmg} punto(s) de daño de oscuridad. Obtienes un punto de energía.	Energia Sombria{desc}Causa {dmg} de dano Sombrio a si. Recebe 1 de Energia.	暗黑能源{desc}对你自己造成{dmg}点暗黑伤害。获得 1 点能源。	闇のエネルギー{desc}自分に{dmg}闇ダメージを与える。エネルギーを1獲得する。	Тёмная энергия{desc}Наносит {dmg} темного урона себе. Получите 1 энергию.
Dark Energy+	Attack	power	3	Dark	self	0	4	Dark Energy+{desc}Deal {dmg} Dark damage to yourself. Gain two Energy.	Dark		0	0	1	0	0	0	mindSpike		2	Énergie noire+{desc}Inflige {dmg} point(s) de dégâts de ténèbres à soi. Gagne 2 points d'énergie.	Dunkle Energie+{desc}Verursache {dmg} Dunkelschaden. Erhalte 2 Energie.	Energía Oscura +{desc}Sufres {dmg} punto(s) de daño de oscuridad. Obtienes dos puntos de energía.	Energia Sombria+{desc}Causa {dmg} de dano Sombrio a si. Recebe 2 de Energia.	暗黑能源+{desc}对你自己造成 {dmg} 点暗黑伤害。获得 2 点能源。	闇のエネルギー+{desc}自分に{dmg}闇ダメージを与える。エネルギーを2獲得する。	Тёмная энергия+{desc}Наносит {dmg} темного урона себе. Получите 2 энергии.
Wild Magic	Attack	power	2	Dark	singleRandomOpponent,self	1	3	Wild Magic{desc}Deal {dmg} Dark damage to one target or possibly yourself.	Dark		1	0	1	0	0	0	mindSpike			Magie instable{desc}Inflige {dmg} point(s) de dégâts de ténèbres à une cible ou à soi.	Wilde Magie{desc}Verursache {dmg} Dunkelschaden bei einem Ziel oder möglicherweise dir selbst.	Magia Salvaje{desc}Inflige {dmg} punto(s) de daño de oscuridad a un objetivo o quizá lo sufras tú.	Magia Selvagem{desc}Causa {dmg} de dano Sombrio a um alvo ou possivelmente a si.	野性魔法{desc}对一个目标，也可能是你自己，造成{dmg}点暗黑伤害。	ワイルドマジック{desc}ターゲット1体と、場合によっては自分に、{dmg}闇ダメージを与える。	Дикая магия{desc}Наносит {dmg} темного урона случайному врагу или себе.
Wild Magic+	Attack	power	3	Dark	singleRandomOpponent,self	1	4	Wild Magic+{desc}Deal {dmg} Dark damage to one target or possibly yourself.	Dark		0	0	1	0	0	0	mindSpike			Magie instable+{desc}Inflige {dmg} point(s) de dégâts de ténèbres à une cible ou à soi.	Wilde Magie+{desc}Verursache {dmg} Dunkelschaden bei einem Ziel oder möglicherweise dir selbst.	Magia Salvaje +{desc}Inflige {dmg} punto(s) de daño de oscuridad a un objetivo o quizá lo sufras tú.	Magia Selvagem+{desc}Causa {dmg} de dano Sombrio a um alvo ou possivelmente a si.	野性魔法+{desc}对一个目标，也可能是你自己，造成 {dmg} 点暗黑伤害。	ワイルドマジック+{desc}ターゲット1体と、場合によっては自分に、{dmg}闇ダメージを与える。	Дикая магия+{desc}Наносит {dmg} темного урона случайному врагу или себе.
Ethereal	Skill			Dark	ally	1	1	Ethereal{desc}Apply 1 [color=#5343EE]Ethereal[/color].		Ethereal:1	1	1	0.3	0	0	0	ethereal			Éthéré{desc}Applique 1 effet [color=#5343EE]Éthéré[/color].	Ätherisch{desc}Bewirke 1 [color=#5343EE]Ätherisch[/color].	Etéreo{desc}Provoca 1 acumulación de [color=#5343EE]Etéreo[/color].	Etéreo{desc}Aplica 1 de [color=#5343EE]Etéreo[/color].	虚无{desc}施加 1 点[color=#5343EE]虚无[/color]。	神秘{desc}[color=#5343EE]神秘[/color]を1付与する。	Эфир{desc}Добавляет 1 [color=#5343EE]Эфирность[/color].
Ethereal+	Skill			Dark	ally	1	2	Ethereal+{desc}Apply 2 [color=#5343EE]Ethereal[/color].		Ethereal:2	0	1	0.5	0	0	0	ethereal			Éthéré+{desc}Applique 2 effets [color=#5343EE]Éthéré[/color].	Ätherisch+{desc}Bewirke 2 [color=#5343EE]Ätherisch[/color].	Etéreo +{desc}Provoca 2 acumulaciones de [color=#5343EE]Etéreo[/color].	Etéreo+{desc}Aplica 2 de [color=#5343EE]Etéreo[/color].	虚无+{desc}施加 2 点[color=#5343EE]虚无[/color]。	神秘+{desc}[color=#5343EE]神秘[/color]を2付与する。	Эфир+{desc}Добавляет 2 [color=#5343EE]Эфирности[/color].
Spectral Hand	Attack	power	1	Dark	anyone	1	3	Spectral Hand{desc} Deal {dmg} Dark damage. ^Apply 1 [color=#5343EE]Ethereal[/color].	Dark	Ethereal:1	1	1	0.5	0	0	0	ethereal			Main spectrale{desc}Inflige {dmg} point(s) de dégâts de ténèbres. ^Applique 1 effet [color=#5343EE]Éthéré[/color].	Geisterhand{desc} Verursache {dmg} Dunkelschaden. ^Bewirke 1 [color=#5343EE]Ätherisch[/color].	Mano Espectral{desc}Inflige {dmg} punto(s) de daño de oscuridad.^Provoca 1 acumulación de [color=#5343EE]Etéreo[/color].	Mão Espectral{desc} Causa {dmg} de dano Sombrio. ^Aplica 1 de [color=#5343EE]Etéreo[/color].	鬼手{desc}造成{dmg}点暗黑伤害。^施加 1 点[color=#5343EE]虚无[/color]。	霊の手{desc}{dmg}闇ダメージを与える。^[color=#5343EE]神秘[/color]を1付与する。	Призрачная рука{desc}Наносит {dmg} темного урона. ^Добавляет 1 [color=#5343EE]Эфирность[/color].
Spectral Hand+	Attack	power	1	Dark	anyone	0	4	Spectral Hand+{desc}Deal {dmg} Dark damage. ^Apply 1 [color=#5343EE]Ethereal[/color].	Dark	Ethereal:1	0	1	0.5	0	0	0	ethereal			Main spectrale+{desc}Inflige {dmg} point(s) de dégâts de ténèbres. ^Applique 1 effet [color=#5343EE]Éthéré[/color].	Geisterhand+{desc} Verursache {dmg} Dunkelschaden. ^Bewirke 1 [color=#5343EE]Ätherisch[/color].	Mano Espectral +{desc}Inflige {dmg} punto(s) de daño de oscuridad.^Provoca 1 acumulación de [color=#5343EE]Etéreo[/color].	Mão Espectral+{desc}Causa {dmg} de dano Sombrio. ^Aplica 1 de [color=#5343EE]Etéreo[/color].	鬼手+{desc}造成 {dmg} 点暗黑伤害。^施加 1 点[color=#5343EE]虚无[/color]。	霊の手+{desc}{dmg}闇ダメージを与える。^[color=#5343EE]神秘[/color]を1付与する。	Призрачная рука+{desc}Наносит {dmg} темного урона. ^Добавляет 1 [color=#5343EE]Эфирность[/color].
Steal Life	Skill	power	1	Dark	opponent	1	1	Steal Life{desc}Steal {cnd} HP.			1	1	0.3	1	0	0	darkCore			Vol de vie{desc}Vole {cnd} PV.	Lebensdiebstahl{desc}Stiehl {cnd} LP.	Robavida{desc}Roba {cnd} PS.	Roubo de Vida{desc}Rouba {cnd} PV.	窃取生命{desc}窃取{cnd}生命值。	ライフ泥棒{desc}{cnd} HPを盗む。	Кража жизни{desc}Крадет {cnd} ОЗ.
Steal Life+	Skill	power	1.5	Dark	opponent	1	2	Steal Life+{desc}Steal {cnd} HP.			0	1	0.5	1	0	0	darkCore			Vol de vie+{desc}Vole {cnd} PV.	Lebensdiebstahl+{desc}Stiehl {cnd} LP.	Robavida +{desc}Roba {cnd} PS.	Roubo de Vida+{desc}Rouba {cnd} PV.	窃取生命+{desc}窃取 {cnd} 生命值。	ライフ泥棒+{desc}{cnd} HPを盗む。	Кража жизни+{desc}Крадет {cnd} ОЗ.
Deja Vu	Skill			Dark	allies	1	2	Deja Vu{desc}The next card you play this turn is not discarded. 			1	0	0.5	1	0	0	star			Déjà-vu{desc}La prochaine carte jouée lors de ce tour ne rejoindra pas la défausse.	Déjà-vu{desc}Die nächste Karte, die du in deinem Zug spielst, wird nicht abgeworfen.	Paramnesia{desc}La próxima carta que juegues en este turno no se descarta.	Déjà Vu{desc}A próxima carta que você jogar neste turno não é descartada.	似曾相识{desc}你本回合打出的下一张牌不会被弃置。	デジャブ{desc}このターンで次に使用するカードが捨て札に送られない。	Дежавю{desc}Следующая сыгранная в этом ходу карта не сбрасывается.
Deja Vu+	Skill			Dark	allies	1	3	Deja Vu+{desc}The next card you play this turn is not discarded.			0	0	0.5	0	0	0	star			Déjà-vu+{desc}La prochaine carte jouée lors de ce tour ne rejoindra pas la défausse.	Déjà-vu+{desc}Die nächste Karte, die du in deinem Zug spielst, wird nicht abgeworfen.	Paramnesia +{desc}La próxima carta que juegues en este turno no se descarta.	Déjà Vu+{desc}A próxima carta que você jogar neste turno não é descartada.	似曾相识+{desc}你本回合打出的下一张牌不会被弃置。	デジャブ+{desc}このターンで次に使用するカードが捨て札に送られない。	Дежавю+{desc}Следующая сыгранная в этом ходу карта не сбрасывается.
Shapeshift	Skill			Dark	anyone	1	2	Shapeshift{desc}Randomize weaknesses for the rest of combat.			1	1	0.5	1	0	0	randomize			Métamorphose{desc}Modifie les faiblesses pour le reste du combat.	Gestaltwandler{desc}Schwächen werden für den Rest des Kampfs zufällig bestimmt.	Metamorfosis{desc}Las debilidades se vuelven aleatorias para el resto del combate.	Metamorfose{desc}Randomiza as fraquezas pelo resto do combate.	变形{desc}随机改变弱点，持续到战斗结束。	シェイプシフト{desc}ターンが終わるまで、弱点がランダムになる。	Оборотень{desc}Случайным образом меняет уязвимости до конца боя.
Shapeshift+	Skill			Dark	anyone	0	3	Shapeshift+{desc}Randomize weaknesses for the rest of combat.			0	1	0.5	1	0	0	randomize			Métamorphose+{desc}Modifie les faiblesses pour le reste du combat.	Gestaltwandler+{desc}Schwächen werden für den Rest des Kampfs zufällig bestimmt.	Metamorfosis +{desc}Las debilidades se vuelven aleatorias para el resto del combate.	Metamorfose+{desc}Randomiza as fraquezas pelo resto do combate.	变形+{desc}随机改变弱点，持续到战斗结束。	シェイプシフト+{desc}ターンが終わるまで、弱点がランダムになる。	Оборотень+{desc}Случайным образом меняет уязвимости до конца боя.
Nightfall	Skill			Dark	player	0	3	Nightfall{desc}Gain 1 Energy. ^Draw one card.			1	0	0.5	1	0	0	smokeSlash	1	1	Crépuscule{desc}Gagne 1 point d'énergie.^Pioche une carte.	Anbruch der Nacht{desc}Erhalte 1 Energie. ^Ziehe 1 Karte.	Ocaso{desc}Obtienes 1 punto de energía.^Roba una carta.	Anoitecer{desc}Recebe 1 de Energia. ^Compra uma carta.	夜幕{desc}获得 1 点能源。^抽 1 张牌。	黄昏{desc}エネルギーを1獲得する。^カードを1枚引く。	Затмение{desc}Получите 1 энергию.^Получите одну карту.
Nightfall+	Skill			Dark	player	0	4	Nightfall+{desc}Gain 1 Energy. ^Draw two cards.			0	0	0.5	1	0	0	smokeSlash	2	1	Crépuscule+{desc}Gagne 1 point d'énergie. ^Pioche 2 cartes.	Anbruch der Nacht+{desc}Erhalte 1 Energie. ^Ziehe 2 Karten.	Ocaso +{desc}Obtienes 1 punto de energía.^Roba dos cartas.	Anoitecer+{desc}Recebe 1 de Energia. ^Compra duas cartas.	夜幕+{desc}获得 1 点能源。^抽 2 张牌。	黄昏+{desc}エネルギーを1獲得する。^カードを2枚引く。	Затмение+{desc}Получите 1 энергию. ^Получите две карты.
Nightmare	Skill	power	1	Dark	opponents	1	3	Nightmare{desc}Deal {dmg} Dark damage two times to all enemies.	Dark*2		1	1	0.5	0	0	0	dark			Cauchemar{desc}Inflige {dmg} point(s) de dégâts de ténèbres à 2 reprises à tous les ennemis.	Albtraum{desc}Verursache zweimal {dmg} Dunkelschaden bei allen Gegnern.	Pesadilla{desc}Inflige {dmg} punto(s) de daño de oscuridad a todos los enemigos dos veces.	Pesadelo{desc}Causa {dmg} de dano Sombrio duas vezes a todos os inimigos.	噩梦{desc}对所有敌人造成 2 次{dmg}点暗黑伤害。	悪夢{desc}敵全体に{dmg}闇ダメージを2回与える。	Кошмар{desc}Наносит {dmg} темного урона два раза всем врагам.
Nightmare+	Skill	power	1	Dark	opponents	1	4	Nightmare+{desc}Deal {dmg} Dark damage three times to all enemies.	Dark*3		0	1	0.5	0	0	0	dark			Cauchemar+{desc}Inflige {dmg} point(s) de dégâts de ténèbres à 3 reprises à tous les ennemis.	Albtraum+{desc}Verursache dreimal {dmg} Dunkelschaden bei allen Gegnern.	Pesadilla +{desc}Inflige {dmg} punto(s) de daño de oscuridad a todos los enemigos tres veces.	Pesadelo+{desc}Causa {dmg} de dano Sombrio três vezes a todos os inimigos.	噩梦+{desc}对所有敌人造成 3 次 {dmg} 点暗黑伤害。	悪夢+{desc}敵全体に{dmg}闇ダメージを3回与える。	Кошмар+{desc}Наносит {dmg} темного урона три раза всем врагам.
Necronomicon	Skill			Dark	self	0	3	Necronomicon{desc}Shuffle a Blood Rites into your draw pile.			0	0	0.5	0	0	0	portal			Nécromancie{desc}Place une carte Rites sanguinaires dans ta pioche.	Nekronomikon{desc}Mische alle Blutrituale in deinen Nachziehstapel.	Necronomicón{desc}Añade una carta Ritos Sangrientos al mazo.	Necronomicon{desc}Embaralha um Ritual Sangrento em sua pilha de compras.	死灵书{desc}将 1 张血祭牌洗入你的抽牌堆。	ネクロノミコン{desc}「血の儀式」をシャッフルして山札に加える。	Некрономикон{desc}Добавляет в вашу колоду карту Кровавый Обряд.
Blood Rites	Skill			Dark	self	0	9	Blood Rites{desc}Deal 1 damage to yourself. ^Put a Cosmic Horror on top of your draw pile.			0	0	0.5	0	0	0	darkSmoke			Rites sanguinaires{desc}Inflige 1 point de dégâts à soi. ^Place une carte Horreur cosmique sur le dessus de ta pioche.	Blutrituale{desc}Verursache 1 Schaden bei dir selbst. ^Lege "Kosmischer Schrecken" auf deinen Nachziehstapel.	Ritos Sangrientos{desc}Sufres 1 punto de daño.^Coloca una carta Terror Cósmico en la parte superior de tu mazo.	Ritual Sangrento{desc}Causa 1 de dano a si. ^Coloca um Horror Cósmico no topo da sua pilha de compras.	血祭{desc}对自己造成 1点 伤害。^将 1 张宇宙恐怖牌放在你的抽牌堆顶。	血の儀式{desc}自分に1ダメージを与える。^「コズミックホラー」を山札の一番上に置く。	Кровавый обряд{desc}Наносит 1 урона себе.^Добавляет карту Вселенский Ужас на верх вашей колоды.
Cosmic Horror	Skill	power	4	Dark	opponents	1	9	Cosmic Horror{desc}Deal {dmg} Dark damage to all enemies.	Dark		0	0	0.5	1	0	0	summon			Horreur cosmique{desc}Inflige {dmg} point(s) de dégâts de ténèbres à tous les ennemis.	Kosmischer Schrecken{desc}Verursache {dmg} Dunkelschaden bei allen Gegnern.	Terror Cósmico{desc}Inflige {dmg} punto(s) de daño de oscuridad a todos los enemigos.	Horror Cósmico{desc}Causa {dmg} de dano Sombrio a todos os inimigos.	宇宙恐怖{desc}对所有敌人造成{dmg}点暗黑伤害。	コズミックホラー{desc}敵全体に{dmg}闇ダメージを与える。	Вселенский ужас{desc}Наносит {dmg} темного урона всем врагам.
Phantom	Skill			Dark	ally	1	1	Phantom{desc}Apply 3 [color=#5343EE]Ethereal[/color].		Ethereal:3	1	1	0.3	1	0	0	ethereal			Fantôme{desc}Applique 3 effets [color=#5343EE]Éthéré[/color].	Phantom{desc}Bewirke 3 [color=#5343EE]Ätherisch[/color].	Fantasma{desc}Provoca 3 acumulaciones de [color=#5343EE]Etéreo[/color].	Fantasma{desc}Aplica 3 de [color=#5343EE]Etéreo[/color].	幻影{desc}施加 3 点[color=#5343EE]虚无[/color]。	ファントム{desc}[color=#5343EE]神秘[/color]を3付与する。	Призрак{desc}Добавляет 3 [color=#5343EE]Эфирности[/color].
Phantom+	Skill			Dark	ally	1	1	Phantom+{desc}Apply 4 [color=#5343EE]Ethereal[/color].		Ethereal:4	0	1	0.3	1	0	0	ethereal			Fantôme+{desc}Applique 4 effets [color=#5343EE]Éthéré[/color].	Phantom+{desc}Bewirke 4 [color=#5343EE]Ätherisch[/color].	Fantasma +{desc}Provoca 4 acumulaciones de [color=#5343EE]Etéreo[/color].	Fantasma+{desc}Aplica 4 de [color=#5343EE]Etéreo[/color].	幻影+{desc}施加 4 点[color=#5343EE]虚无[/color]。	ファントム+{desc}[color=#5343EE]神秘[/color]を4付与する。	Призрак+{desc}Добавляет 4 [color=#5343EE]Эфирности[/color].
Thought Thief	Skill			Dark	opponent	1	1	Thought Thief{desc}Steal a random card from one target's deck and place it on top of your draw pile.			1	0	0.3	0	0	0	darkMirror			Appropriation{desc}Vole une carte aléatoire dans le deck d'une cible et la place sur le dessus de ta pioche.	Gedankendieb{desc}Stiehl eine zufällige Karte aus dem Deck des Ziels und lege sie auf deinen Nachziehstapel.	Ladrón del Pensamiento{desc}Roba una carta al azar del mazo de un objetivo y colócala en la parte superior del tuyo.	Ladrão de Pensamento{desc}Rouba uma carta aleatória do baralho de um alvo e a coloca no topo da sua pilha de compras.	思想窃贼{desc}从一个目标的卡组中随机窃取 1 张牌，放在你的抽牌堆顶。	アイデア泥棒{desc}ターゲット1体のデッキからカード1枚をランダムに盗み、自分の山札の一番上に置く。	Кража мыслей{desc}Крадет случайную карту у одного противника и кладет её на верх вашей колоды.
Thought Thief+	Skill			Dark	opponent	0	2	Thought Thief+{desc}Steal a random card from one target's deck and place it on top of your draw pile.			0	0	0.5	0	0	0	darkMirror			Appropriation+{desc}Vole une carte aléatoire dans le deck d'une cible et la place sur le dessus de ta pioche.	Gedankendieb+{desc}Stiehl eine zufällige Karte aus dem Deck des Ziels und lege sie auf deinen Nachziehstapel.	Ladrón del Pensamiento +{desc}Roba una carta al azar del mazo de un objetivo y colócala en la parte superior del tuyo.	Ladrão de Pensamentos+{desc}Rouba uma carta aleatória do baralho de um alvo e a coloca no topo da sua pilha de compras.	思想窃贼+{desc}从一个目标的卡组中随机窃取 1 张牌，放在你的抽牌堆顶。	アイデア泥棒+{desc}ターゲット1体のデッキからカード1枚をランダムに盗み、自分の山札の一番上に置く。	Кража  мыслей+{desc}Крадет случайную карту у одного противника и кладет её на верх вашей колоды.
Dreamcatcher	Skill			Dark	opponents	1	3	Dream Snare{desc}Steal a random card from all enemies and place them on top of your draw pile.			1	0	0.5	0	0	0	darkMirror			Attrape-rêves{desc}Vole une carte aléatoire à tous les ennemis et les place sur le dessus de ta pioche.	Traumfalle{desc}Stiehl je eine zufällige Karte von allen Gegnern und lege sie auf deinen Nachziehstapel.	Cazasueños{desc}Roba una carta al azar de todos los enemigos y colócalas en la parte superior de tu mazo.	Armadilha de Sonhos{desc}Rouba uma carta aleatória do baralho de cada inimigo e as coloca no topo da sua pilha de compras.	梦境陷阱{desc}从所有敌人那里分别随机窃取 1 张牌，全部放在你的抽牌堆顶。	夢の誘惑{desc}敵全体からカード1枚をランダムに盗み、自分の山札の一番上に置く。	Ловушка снов{desc}Крадет по случайной карте у всех врагов и кладет их на верх вашей колоды.
Dreamcatcher+	Skill			Dark	opponents	0	4	Dream Snare+{desc}Steal a random card from all enemies and place them on top of your draw pile.			0	0	0.5	0	0	0	darkMirror			Attrape-rêves+{desc}Vole une carte aléatoire à tous les ennemis et les place sur le dessus de ta pioche.	Traumfalle+{desc}Stiehl je eine zufällige Karte von allen Gegnern und lege sie auf deinen Nachziehstapel.	Cazasueños +{desc}Roba una carta al azar de todos los enemigos y colócalas en la parte superior de tu mazo.	Armadilha de Sonhos+{desc}Rouba uma carta aleatória do baralho de cada inimigo e as coloca no topo da sua pilha de compras.	追梦捕手+{desc}从所有敌人那里分别随机窃取 1 张牌，全部放在你的抽牌堆顶。	夢の誘惑+{desc}敵全体からカード1枚をランダムに盗み、自分の山札の一番上に置く。	Ловушка снов+{desc}Крадет по случайной карте у всех врагов и кладет их на верх вашей колоды.
Blood Magic	Skill	power	5	Dark	opponent	3	5	Blood Magic{desc}Steal {cnd} HP.			0	1	0.5	1	0	0	darkCore			Hémomancie{desc}Vole {cnd} PV.	Blutmagie{desc}Stiehl {cnd} LP.	Magia Sangrienta{desc}Roba {cnd} PS.	Magia de Sangue{desc}Rouba {cnd} PV.	血魔法{desc}窃取{cnd}生命值。	ブラッドマジック{desc}{cnd} HPを盗む。	Кровавая магия{desc}Крадет {cnd} ОЗ.
																										
								// Shop-only cards																		
Summon	Skill			Dark	self	1	22	Summon{desc}Draw 3 cards and gain 1 Curse to your draw pile.			1	0	2	0	0	0	dark	3		Invocation{desc}Pioche 3 cartes et ajoute 1 carte Malédiction à ta pioche.	Beschwören{desc}Ziehen 3 Karten und erhalte 1 Fluch für deinen Nachziehstapel.	Invocación{desc}Roba 3 cartas y añade 1 carta de Maldición a tu mazo.	Conjuração{desc}Compre 3 cartas e ganhe 1 Maldição para colocar na sua pilha de compras.	暗黑召唤{desc}抽3张牌，并在抽牌堆中添加 1 张诅咒牌。	召喚{desc}カードを3枚引く。山札に「呪い」が1枚追加される。	Тёмная церемония{desc}Получите 3 карты, но 1 карта Проклятие будет добавлена в вашу колоду.
Summon+	Skill			Dark	self	1	23	Summon{desc}Draw 5 cards and gain 1 Curse to your draw pile.			0	0	2	0	0	0	dark	5		Invocation+{desc}Pioche 5 cartes et ajoute 1 carte Malédiction à ta pioche.	Beschwören+{desc}Ziehen 5 Karten und erhalte 1 Fluch für deinen Nachziehstapel.	Invocación +{desc}Roba 5 cartas y añade 1 carta de Maldición a tu mazo.	Conjuração+{desc}Compre 5 cartas e ganhe 1 Maldição para colocar na sua pilha de compras.	暗黑召唤+{desc}抽5张牌，并在抽牌堆中添加 1 张诅咒牌。	召喚+{desc}カードを5枚引く。山札に「呪い」が1枚追加される。	Тёмная церемония+{desc}Получите 5 карт, но 1 карта Проклятие будет добавлена в вашу колоду.
